Products
Shakes, Frappes & Smoothies
Coffee Frappé
$4.85  2440 kJ 
Chocolate Frappé
$4.85  2470 kJ 
Salted Caramel Frappé
$4.85  2250 kJ 
RMHC $1 Donation
$1.00 
RMHC $2 Donation
$2.00 
RMHC $10 Donation
$10.00 
