Products, Price
Big Mac, $6.65  2360 kJ
Medium Big Mac Meal, $12.15  2360 kJ
Small Big Mac Meal, $11.35  2360 kJ
Large Big Mac Meal, $12.95  2360 kJ
Bottled Water 600mL, $3.70  0 kJ
Small Sprite®, $2.90  378 kJ
Large Sprite®, $4.30  827 kJ
Medium Sprite®, $3.65  541 kJ
